county,city,total_fatal_crashes,total_injury_crashes,alcohol_involved_fatal,alcohol_involved_injury,pedestriannvolved_fatal,pedestrian_involved_injury,bicyclist_involved_fatal,bicyclist_involved_injury,motorcycle_involved_fatal,motorcycle_involved_injury
Alameda,,90,"7,905",28,655,32,698,4,490,15,631
,Alameda,0,172,0,16,0,28,0,25,0,12
,Albany,4,65,2,9,2,9,0,5,1,6
,Berkeley,6,602,1,36,2,137,1,101,0,61
,Dublin,2,138,1,13,0,6,0,11,0,5
,Emeryville,0,134,0,6,0,4,0,9,0,10
,Fremont,9,"1,000",4,77,4,58,1,44,2,86
,Hayward,9,644,6,61,6,44,1,21,1,59
,Livermore,6,383,3,35,3,10,0,33,0,15
,Newark,2,142,0,18,1,5,0,11,0,11
,Oakland,31,"2,448",7,180,9,287,0,144,8,201
,Piedmont,0,6,0,0,0,3,0,0,0,1
,Pleasanton,1,360,0,22,0,14,0,26,0,18
,San Leandro,6,330,3,51,2,29,0,17,0,10
,Union City,4,175,1,17,2,19,1,10,0,12
,Unincorporated,10,"1,306",0,114,1,45,0,33,3,124
,,6,509,0,50,1,32,0,28,1,54
,,0,0,0,0,0,0,0,0,0,0
,,4,797,0,64,0,13,0,5,2,70
Alpine,,2,33,0,4,0,0,1,0,1,9
,Unincorporated,2,33,0,4,0,0,1,0,1,9
,,1,5,0,1,0,0,1,0,0,2
,,1,28,0,3,0,0,0,0,1,7
Amador,,13,196,4,38,1,4,0,2,1,18
,Amador City,0,1,0,0,0,0,0,0,0,0
,Ione,0,5,0,2,0,0,0,1,0,0
,Jackson,1,7,0,1,1,1,0,0,0,1
,Plymouth,0,0,0,0,0,0,0,0,0,0
,Sutter Creek,1,14,0,3,0,0,0,0,0,0
,Unincorporated,11,169,4,32,0,3,0,1,1,17
,,2,69,1,12,0,1,0,1,1,5
,,9,100,3,20,0,2,0,0,0,12
Butte,,33,920,9,143,8,61,0,43,3,69
,Biggs,0,0,0,0,0,0,0,0,0,0
,Chico,6,286,0,48,2,34,0,28,0,21
,Gridley,0,13,0,0,0,0,0,2,0,0
,Oroville,5,149,4,12,2,15,0,4,1,5
,Paradise,0,30,0,3,0,3,0,0,0,5
,Unincorporated,22,442,5,80,4,9,0,9,2,38
,,12,259,3,57,0,8,0,8,2,27
,,10,183,2,23,4,1,0,1,0,11
Calaveras,,10,226,4,45,1,4,0,2,0,32
,Angels Camp,0,5,0,1,0,1,0,0,0,0
,Unincorporated,10,221,4,44,1,3,0,2,0,32
,,3,77,2,21,1,2,0,1,0,16
,,7,144,2,23,0,1,0,1,0,16
Colusa,,9,142,1,21,0,3,1,2,0,7
,Colusa,1,14,0,1,0,1,0,1,0,1
,Williams,0,5,0,2,0,0,0,0,0,0
,Unincorporated,8,123,1,18,0,2,1,1,0,6
,,0,47,0,9,0,2,0,0,0,2
,,8,76,1,9,0,0,1,1,0,4
Contra Costa,,69,"4,353",27,492,21,300,3,206,10,312
,Antioch,7,282,2,32,0,29,0,7,2,24
,Brentwood,2,150,1,21,0,9,0,10,0,5
,Clayton,0,7,0,1,0,2,0,2,0,0
,Concord,7,640,3,76,4,44,0,30,1,41
,Danville,1,96,1,4,0,6,0,13,0,3
,El Cerrito,2,38,2,7,1,9,0,3,0,4
,Hercules,1,57,0,5,1,6,0,2,0,5
,Lafayette,0,63,0,4,0,4,0,0,0,4
,Martinez,3,116,1,15,2,7,0,2,0,10
,Moraga,0,14,0,0,0,2,0,5,0,2
,Oakley,2,46,0,8,0,3,0,8,0,2
,Orinda,3,51,1,1,0,1,0,0,0,5
,Pinole,2,57,0,7,1,0,0,0,0,11
,Pittsburg,4,260,3,42,2,21,0,6,1,24
,Pleasant Hill,0,115,0,9,0,11,0,7,0,8
,Richmond,10,578,3,67,4,50,1,31,3,38
,San Pablo,0,153,0,16,0,28,0,10,0,9
,San Ramon,0,187,0,15,0,14,0,20,0,6
,Walnut Creek,5,342,2,34,2,24,0,15,1,18
,Unincorporated,20,"1,101",8,128,4,30,2,35,2,93
,,16,468,7,62,4,23,2,34,0,42
,,4,633,1,66,0,7,0,1,2,51
Del Norte,,8,139,1,19,1,5,0,9,1,14
,Crescent City,0,3,0,0,0,0,0,0,0,1
,Unincorporated,8,136,1,19,1,5,0,9,1,13
,,2,53,1,12,1,3,0,7,0,6
,,6,83,0,7,0,2,0,2,1,7
El Dorado,,27,615,11,103,3,15,0,17,5,54
,Placerville,0,27,0,6,0,3,0,3,0,3
,South Lake Tahoe,1,28,1,11,1,2,0,4,0,4
,Unincorporated,26,560,10,86,2,10,0,10,5,47
,,13,375,7,64,0,6,0,8,4,35
,,13,185,3,22,2,4,0,2,1,12
Fresno,,122,"2,669",34,305,31,84,8,63,14,117
,Clovis,0,302,0,32,0,15,0,21,0,10
,Coalinga,0,12,0,0,0,5,0,1,0,1
,Firebaugh,1,8,1,2,0,0,0,0,0,0
,Fowler,0,21,0,1,0,1,0,1,0,1
,Fresno,42,717,18,81,21,25,2,15,5,28
,Kerman,0,4,0,0,0,0,0,1,0,0
,Kingsburg,2,16,1,3,0,2,0,0,0,0
,Mendota,1,11,0,4,1,1,0,0,0,1
,Orange Cove,0,0,0,0,0,0,0,0,0,0
,Parlier,0,16,0,1,0,2,0,0,0,1
,Reedley,1,50,0,8,1,4,0,0,0,1
,Sanger,1,37,1,4,0,5,0,2,1,1
,Selma,4,46,2,4,2,6,0,4,0,0
,Unincorporated,70,"1,429",11,165,6,18,6,18,8,73
,,47,981,7,116,4,11,6,18,4,47
,,23,448,4,49,2,7,0,0,4,26
Glenn,,5,105,1,15,1,4,1,0,0,4
,Orland,0,11,0,2,0,3,0,0,0,0
,Unincorporated,5,94,1,13,1,1,1,0,0,4
,,1,41,0,6,0,1,1,0,0,1
,,4,53,1,7,1,0,0,0,0,3
Humboldt,,20,574,14,100,5,62,0,36,2,47
,Arcata,0,43,0,5,0,13,0,8,0,3
,Eureka,0,197,0,23,0,32,0,14,0,13
,Ferndale,0,0,0,0,0,0,0,0,0,0
,Fortuna,0,23,0,3,0,2,0,4,0,1
,Trinidad,0,0,0,0,0,0,0,0,0,0
,Unincorporated,20,311,14,69,5,15,0,10,2,30
,,7,135,6,31,1,9,0,4,1,20
,,13,176,8,38,4,6,0,6,1,10
Imperial,,29,522,7,60,4,23,3,19,2,27
,Brawley,1,17,0,3,1,1,0,1,0,2
,Calexico,1,40,0,1,0,4,1,3,0,3
,El Centro,1,117,1,16,1,14,0,13,0,5
,Imperial,0,4,0,0,0,0,0,0,0,0
,Westmorland,0,3,0,0,0,0,0,0,0,0
,Unincorporated,26,341,6,40,2,4,2,2,2,17
,,14,139,3,20,1,2,1,2,2,10
,,12,202,3,20,1,2,1,0,0,7
Inyo,,9,100,1,10,0,2,0,4,0,14
,Bishop,0,2,0,1,0,0,0,0,0,0
,Unincorporated,9,98,1,9,0,2,0,4,0,14
,,0,37,0,3,0,1,0,1,0,11
,,9,61,1,6,0,1,0,3,0,3
Kern,,138,"3,721",48,435,33,239,9,140,19,187
,Arvin,1,45,1,10,0,7,0,0,0,1
,Bakersfield,35,"1,576",7,176,16,137,3,79,5,72
,Bear Valley Springs,0,5,0,0,0,0,0,0,0,1
,California City,4,10,2,2,1,0,0,0,2,0
,Delano,3,20,1,6,1,1,0,0,0,2
,Maricopa,0,1,0,0,0,0,0,0,0,0
,McFarland,0,1,0,0,0,0,0,0,0,0
,Ridgecrest,1,59,0,9,1,2,0,12,1,4
,Shafter,1,42,1,5,0,4,0,0,0,8
,Taft,1,23,0,2,1,2,0,1,0,2
,Tehachapi,0,33,0,9,0,2,0,2,0,3
,Wasco,3,27,2,1,2,6,0,0,0,0
,Unincorporated,89,"1,879",34,215,11,78,6,46,11,94
,,35,"1,032",16,137,7,70,3,38,8,56
,,1,0,0,0,0,0,1,0,0,0
,,53,847,18,78,4,8,2,8,3,38
Kings,,13,558,6,78,5,27,0,23,1,29
,Avenal,0,13,0,1,0,1,0,1,0,0
,Corcoran,1,30,1,4,1,2,0,3,0,0
,Hanford,1,178,1,24,1,18,0,14,0,13
,Lemoore,0,39,0,7,0,4,0,4,0,2
,Unincorporated,11,298,4,42,3,2,0,1,1,14
,,8,174,4,24,3,2,0,1,1,10
,,3,124,0,18,0,0,0,0,0,4
Lake,,15,271,5,55,3,14,1,3,2,23
,Clearlake,2,14,1,2,1,4,1,0,0,2
,Lakeport,0,14,0,2,0,4,0,0,0,2
,Unincorporated,13,243,4,51,2,6,0,3,2,19
,,3,71,1,18,1,1,0,2,1,13
,,10,172,3,33,1,5,0,1,1,6
Lassen,,6,93,0,15,0,1,0,0,0,7
,Unincorporated,6,93,0,15,0,1,0,0,0,7
,,1,19,0,4,0,1,0,0,0,2
,,5,74,0,11,0,0,0,0,0,5
Los Angeles,,683,"60,183",202,"4,784",280,"5,385",42,"3,366",107,"3,883"
,Agoura Hills,2,83,0,10,1,6,0,2,1,4
,Alhambra,4,416,1,22,2,30,0,19,1,18
,Arcadia,3,266,1,11,1,19,0,14,1,13
,Artesia,1,95,0,6,0,3,0,5,1,2
,Avalon,0,11,0,1,0,1,0,1,0,1
,Azusa,1,223,1,11,0,13,0,11,0,21
,Baldwin Park,5,405,3,29,2,20,2,16,0,26
,Bell,6,228,2,24,1,15,0,11,3,18
,Bell Gardens,2,144,0,8,1,25,0,11,1,6
