county,total_killed_injured,total_killed,total_injured,severe_wound
Alameda,"10,537",96,"10,441",224
Alpine,68,2,66,
Amador,292,16,276,
Butte,"1,296",34,"1,262",37
Calaveras,316,11,305,2
Colusa,217,12,205,
Contra Costa,"6,059",77,"5,982",165
Del Norte,228,11,217,
El Dorado,890,29,861,8
Fresno,"4,382",135,"4,247",31
Glenn,165,7,158,1
Humboldt,761,24,737,14
Imperial,858,32,826,13
Inyo,171,12,159,
Kern,"5,904",154,"5,750",31
Kings,842,16,826,3
Lake,405,15,390,
Lassen,138,6,132,
Los Angeles,"88,814",724,"88,090","2,164"
Madera,"1,087",39,"1,048",13
Marin,"1,346",21,"1,325",11
Mariposa,105,4,101,
Mendocino,529,23,506,5
Merced,"2,270",54,"2,216",42
Modoc,80,6,74,
Mono,106,8,98,
Monterey,"2,828",35,"2,793",28
Napa,"1,062",18,"1,044",24
Nevada,540,10,530,7
Orange,"17,722",180,"17,542",365
Placer,"2,252",24,"2,228",11
Plumas,158,3,155,
Riverside,"15,248",288,"14,960",368
Sacramento,"12,518",178,"12,340",225
San Benito,420,11,409,3
San Bernardino,"16,137",328,"15,809",313
San Diego,"19,928",252,"19,676",421
San Francisco,"5,160",39,"5,121",253
San Joaquin,"6,440",120,"6,320",125
San Luis Obispo,"1,482",34,"1,448",36
San Mateo,"3,929",28,"3,901",33
Santa Barbara,"2,525",38,"2,487",47
Santa Clara,"10,498",131,"10,367",265
Santa Cruz,"1,463",19,"1,444",30
Shasta,"1,087",37,"1,050",38
Sierra,47,3,44,
Siskiyou,350,10,340,1
Solano,"2,740",46,"2,694",70
Sonoma,"3,182",36,"3,146",62
Stanislaus,"4,775",70,"4,705",84
Sutter,785,29,756,7
Tehama,427,20,407,2
Trinity,129,9,120,
Tulare,"3,001",70,"2,931",47
Tuolumne,560,12,548,1
Ventura,"5,562",49,"5,513",147
Yolo,"1,411",28,"1,383",30
Yuba,536,14,522,4
TOTAL,"272,768","3,737","269,031","5,811"
