county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alameda,62,57,72,82,83,87,78,97,78,90
Alpine,1,2,1,1,1,2,4,4,2,2
Amador,6,11,6,5,7,7,12,11,9,13
Butte,38,19,23,19,22,31,32,33,36,33
Calaveras,11,8,9,7,8,11,8,19,12,10
Colusa,6,7,4,8,3,5,5,11,10,9
Contra Costa,40,47,57,48,43,72,78,62,73,69
Del Norte,6,11,7,8,9,14,8,6,9,8
El Dorado,16,18,19,23,19,24,20,24,30,27
Fresno,95,111,106,101,118,89,135,137,108,122
Glenn,7,3,4,4,3,6,8,8,7,5
Humboldt,16,26,28,28,27,24,21,33,20,20
Imperial,24,12,29,26,35,26,28,24,31,29
Inyo,6,7,6,3,0,5,7,8,0,9
Kern,96,93,114,122,103,123,134,169,127,138
Kings,18,11,21,15,12,29,26,23,16,13
Lake,15,15,13,19,7,17,14,15,10,15
Lassen,9,7,8,7,5,7,7,8,10,6
Los Angeles,530,513,585,585,606,618,782,715,693,683
Madera,23,23,23,18,28,26,35,21,23,35
Marin,2,6,10,13,8,7,10,14,16,20
Mariposa,4,3,5,3,4,3,4,6,3,4
Mendocino,19,17,19,15,16,9,24,27,31,21
Merced,30,39,40,45,34,46,60,62,49,47
Modoc,1,5,1,3,3,3,1,0,2,6
Mono,5,1,5,1,5,5,1,4,7,5
Monterey,33,46,26,30,30,47,50,54,44,32
Napa,9,8,7,15,7,14,12,15,14,17
Nevada,10,6,17,13,5,13,12,14,16,10
Orange,100,128,148,165,165,178,196,197,192,164
Placer,23,24,27,19,13,21,37,30,27,24
Plumas,4,9,8,2,5,4,8,6,4,3
Riverside,190,186,202,208,225,237,264,283,289,269
Sacramento,118,105,97,116,100,124,153,157,134,164
San Benito,4,5,9,7,8,8,11,8,12,11
San Bernardino,203,209,217,235,257,237,254,308,289,302
San Diego,174,196,206,193,217,233,230,222,253,239
San Francisco,29,33,31,34,30,38,35,25,28,34
San Joaquin,75,79,56,81,81,91,111,105,104,111
San Luis Obispo,17,21,27,25,28,33,31,32,37,31
San Mateo,17,47,36,44,24,33,46,29,29,27
Santa Barbara,29,26,30,30,19,37,31,33,31,33
Santa Clara,81,91,82,93,104,126,106,111,116,124
Santa Cruz,10,8,11,13,20,16,21,16,22,19
Shasta,19,25,25,24,25,38,25,29,29,34
Sierra,3,2,3,2,0,1,1,3,1,3
Siskiyou,8,12,13,5,8,11,10,15,14,9
Solano,28,27,17,36,45,42,35,32,53,43
Sonoma,36,28,35,29,35,45,42,42,38,36
Stanislaus,46,52,43,51,53,48,75,72,79,63
Sutter,13,11,8,10,11,16,7,20,19,22
Tehama,12,13,10,10,12,17,16,11,20,15
Trinity,7,5,1,4,6,4,8,5,8,8
Tulare,64,52,61,50,59,67,74,77,63,60
Tuolumne,7,9,6,8,10,10,9,13,7,12
Ventura,40,64,47,61,46,50,54,48,51,43
Yolo,12,18,19,17,17,23,34,19,25,24
Yuba,13,11,18,14,8,10,12,10,18,13
Total,"2,520","2,628","2,758","2,853","2,882","3,168","3,552","3,582","3,478","3,438"
