county,city,driver_killed,driver_injured,driver_total,passenger_killed,passenger_injured,passenger_total_,statewide_total
Alameda,,672,"107,552","108,224",256,"37,547","37,803","168,592"
,Alameda,,"1,776","1,776",,847,847,"3,520"
,Albany,,864,864,30,315,345,"1,504"
,Berkeley,32,"5,776","5,808",15,"2,006","2,021","11,888"
,Dublin,32,"1,968","2,000",15,662,677,"2,976"
,Emeryville,,"1,664","1,664",,782,782,"2,704"
,Fremont,32,"15,936","15,968",30,"4,158","4,188","22,192"
,Hayward,32,"9,328","9,360",,"2,731","2,731","13,520"
,Livermore,32,"6,160","6,192",15,"1,622","1,637","8,656"
,Newark,16,"2,048","2,064",,466,466,"2,832"
,Oakland,272,"30,288","30,560",106,"14,026","14,132","52,752"
,Piedmont,,32,32,,15,15,96
,Pleasanton,16,"5,296","5,312",,"1,695","1,695","7,776"
,San Leandro,48,"4,240","4,288",15,"1,530","1,545","6,752"
,Union City,16,"2,496","2,512",,631,631,"3,744"
,Unincorporated,144,"19,680","19,824",30,"6,061","6,091","27,680"
,,80,"7,328","7,408",30,"1,681","1,711","10,256"
,,64,"12,352","12,416",,"4,380","4,380","17,424"
Alpine,,16,608,624,,420,420,"1,088"
,Unincorporated,16,608,624,,420,420,"1,088"
,,,80,80,,15,15,112
,,16,528,544,,405,405,976
Amador,,208,"3,008","3,216",30,"1,231","1,261","4,672"
,Amador City,,,,,15,15,16
,Ione,,80,80,,,,96
,Jackson,,96,96,,15,15,144
,Sutter Creek,16,208,224,,105,105,336
,Unincorporated,192,"2,624","2,816",30,"1,096","1,126","4,080"
,,32,"1,040","1,072",,330,330,"1,456"
,,160,"1,584","1,744",30,766,796,"2,624"
Butte,,320,"13,984","14,304",90,"4,218","4,308","20,736"
,Chico,48,"3,808","3,856",15,"1,187","1,202","6,192"
,Gridley,,160,160,,60,60,256
,Oroville,48,"2,304","2,352",,721,721,"3,456"
,Paradise,,432,432,,90,90,576
,Unincorporated,224,"7,280","7,504",75,"2,160","2,235","10,256"
,,144,"3,968","4,112",45,"1,185","1,230","5,696"
,,80,"3,312","3,392",30,975,"1,005","4,560"
Calaveras,,128,"3,520","3,648",30,"1,186","1,216","5,056"
,Angels Camp,,64,64,,15,15,96
,Unincorporated,128,"3,456","3,584",30,"1,171","1,201","4,960"
,,32,"1,200","1,232",15,286,301,"1,616"
,,96,"2,256","2,352",15,885,900,"3,344"
